Blade ID,Blade Name,Skill,Type,Col,Row,Level,Idea Category,Idea Points,Condition,Count,Result
1001,焰,,Key,1,1,1,,,,,
1001,焰,,Key,1,2,2,Bravery,200,提升信赖度,100,这都是多亏了每天的积累
1001,焰,,Key,1,3,3,Bravery,300,提升信赖度,1600,料理的水准也有点提升了
1001,焰,,Key,1,4,4,Bravery,500,提升信赖度,4600,感觉我能变得更强
1001,焰,,Key,1,5,5,Bravery,800,提升信赖度,10600,这就是我们牵绊的证明呢
1001,焰,火焰新星,Special,2,1,1,,,,,
1001,焰,火焰新星,Special,2,2,2,Bravery,200,"在古拉
打倒珍稀种怪物以外的甲狼兽族",6,"作为修行的对手
刚刚好呢"
1001,焰,火焰新星,Special,2,3,3,Bravery,300,使用火焰新星,11,怎么回事[ML:Dash ] 力量涌了上来
1001,焰,火焰新星,Special,2,4,4,Bravery,500,使用异刃连击,10,我的力量 感觉如何？
1001,焰,火焰新星,Special,2,5,5,Bravery,800,"在世界树
打倒护卫羽毛翼龙",4,"真是难缠的对手 
多亏了有你在才能获胜"
1001,焰,阳炎螺旋,Special,3,1,1,,,,,
1001,焰,阳炎螺旋,Special,3,2,2,Bravery,200,使用阳炎螺旋,7,越来越像模像样了呢
1001,焰,阳炎螺旋,Special,3,3,3,Bravery,300,"在斯佩比亚
打倒小丑铠虾",5,"真是相当强悍的敌人
不过也让我变强了不少[ML:Dash ]"
1001,焰,阳炎螺旋,Special,3,4,4,Bravery,500,使用阳炎螺旋,9,我要用这份力量 保护好大家
1001,焰,阳炎螺旋,Special,3,5,5,Bravery,800,使用阳炎螺旋,10,这是至今以来用得最出色的一次了
1001,焰,烈焰终结,Special,4,1,1,,,,,
1001,焰,烈焰终结,Special,4,2,2,Bravery,200,使用异刃连击,5,火焰的力量 你看到了吗？
1001,焰,烈焰终结,Special,4,3,3,Bravery,300,使用烈焰终结,6,招式的技巧似乎变得更好了
1001,焰,烈焰终结,Special,4,4,4,Bravery,500,"在利贝拉里塔斯
打倒疾速羽毛翼龙",4,"既然挡在我的面前
那我是不会手下留情的 请作好心理准备"
1001,焰,烈焰终结,Special,4,5,5,Bravery,800,使用烈焰终结,8,这是为编织希望而存在的力量
1001,焰,净化之炎,Battle Skill,5,1,1,Truth,100,使用异刃武技,3,我来援护
1001,焰,净化之炎,Battle Skill,5,2,2,Truth,200,救助同伴,10,我有帮助到大家吗？
1001,焰,净化之炎,Battle Skill,5,3,3,Truth,300,"在利贝拉里塔斯的柯蕾尔的家和焰交谈
观看牵绊对话·在坟前",,"不要憋在心里生闷气啦
真是的[ML:Dash ] 自己直接说出口嘛"
1001,焰,净化之炎,Battle Skill,5,4,4,Truth,500,使用异刃武技,7,援助就请交给我
1001,焰,净化之炎,Battle Skill,5,5,5,Truth,800,"在战斗中进行异刃切换
（可通过至今的累计数达成）",4000,我能给大家帮上更多忙吗[ML:Dash ]
1001,焰,圣杯片鳞,Battle Skill,6,1,1,Compassion,100,使用异刃连击,2,已经掌握全新的力量啦
1001,焰,圣杯片鳞,Battle Skill,6,2,2,Compassion,200,"使用御刃者连击
（旁观到的也将算入统计）",5,我也不能输
1001,焰,圣杯片鳞,Battle Skill,6,3,3,Compassion,300,发动暴击,7,我的力量好像变强了
1001,焰,圣杯片鳞,Battle Skill,6,4,4,Compassion,500,"在阿伐利缇亚
观看牵绊对话·厨师梅勒芙",,"嗯 对那两个人来说
料理还太早了？"
1001,焰,圣杯片鳞,Battle Skill,6,5,5,Compassion,800,"使用御刃者连击
（旁观到的也将算入统计）",12,接下来就让你们见识一下我的力量
1001,焰,火焰刀身,Battle Skill,7,1,1,,,,,
1001,焰,火焰刀身,Battle Skill,7,2,2,Bravery,200,发动暴击,5,"该学的东西
还有很多很多呢"
1001,焰,火焰刀身,Battle Skill,7,3,3,Bravery,300,"多多行走
（可通过至今的累计数达成）",80000,"我们已经去过很多地方了呢
今后也请多多关照哦"
1001,焰,火焰刀身,Battle Skill,7,4,4,Bravery,500,回避攻击,9,我一定会熟练掌握给你看的
1001,焰,火焰刀身,Battle Skill,7,5,5,Bravery,800,使用异刃连击,12,"这是我擅长的招式呢
尽管使用"
1001,焰,火属性之力,Field Skill,8,1,1,,,,,
1001,焰,火属性之力,Field Skill,8,2,2,Bravery,200,"找到区域
（可通过至今的累计数达成）",12,"我们已经去过许多地方了呢
有你中意的地方吗？"
1001,焰,火属性之力,Field Skill,8,3,,,,,,
1001,焰,火属性之力,Field Skill,8,4,3,Bravery,500,"进行采集
（可通过至今的累计数达成）",25,"采集到了好多东西呢
有能用来做料理的东西吗？"
1001,焰,火属性之力,Field Skill,8,5,,,,,,
1001,焰,集中力,Field Skill,9,1,1,,,,,
1001,焰,集中力,Field Skill,9,2,,,,,,
1001,焰,集中力,Field Skill,9,3,2,Truth,300,"使用收纳包道具·饮料中
焰喜欢的东西",4,"塞利奥茶的味道可真香啊
感觉能提升集中力呢"
1001,焰,集中力,Field Skill,9,4,,,,,,
1001,焰,集中力,Field Skill,9,5,3,Truth,800,"在战斗中成功完成按键挑战
（可通过至今的累计数达成）",100,时机真完美 不愧是你
1001,焰,料理,Field Skill,10,1,1,,,,,
1001,焰,料理,Field Skill,10,2,,,,,,
1001,焰,料理,Field Skill,10,3,2,Compassion,300,"制作料理
（可通过至今的累计数达成）",10,"我很擅长料理
今后也来做各种料理"
1001,焰,料理,Field Skill,10,4,,,,,,
1001,焰,料理,Field Skill,10,5,3,Compassion,800,"制作料理
（可通过至今的累计数达成）",50,"好像一下子做了太多呢
不过 浪费就不好了
不能剩下来哦"
1002,光,,Key,1,1,1,,,,,
1002,光,,Key,1,2,2,Justice,200,提升信赖度,100,我[ML:Dash ] 变了吗？
1002,光,,Key,1,3,3,Justice,300,提升信赖度,1300,我会变得更强的
1002,光,,Key,1,4,4,Justice,500,提升信赖度,3800,"一定要把我的力量用在正道上哦
不过你一定是没问题的[ML:Dash ]
约好了哦"
1002,光,,Key,1,5,5,Justice,800,提升信赖度,8800,"能来到这里
全都是多亏了你[ML:Dash ]
谢谢你"
1002,光,惩罚光线,Special,2,1,1,,,,,
1002,光,惩罚光线,Special,2,2,2,Justice,200,使用惩罚光线,10,"毕竟已经隔了500年
大概是还没有习惯身体"
1002,光,惩罚光线,Special,2,3,3,Justice,300,"在洛修利亚
打倒雪花牛角羊",4,"这对手也不怎么强呢
还是说是我成长了？"
1002,光,惩罚光线,Special,2,4,4,Justice,500,"在莫尔斯断崖
打倒巴尔特海鳄蜥",4,"根本不是我的对手
不管从哪边 都放马过来"
1002,光,惩罚光线,Special,2,5,5,Justice,800,"在莫尔斯断崖
打倒绯红色的隆基凯普斯",1,"比想象的更强呢
绯红色的隆基凯普斯 就记住你的名字"
1002,光,光子斩击,Special,3,1,1,,,,,
1002,光,光子斩击,Special,3,2,2,Justice,200,"在利贝拉里塔斯
打倒纽尔火烈鸟",5,"在和纽尔火烈鸟的战斗中
我看到了全新的可能性
在下一场战斗里试一试"
1002,光,光子斩击,Special,3,3,3,Justice,300,"在洛修利亚
打倒珍稀种怪物以外的豹企鹅族",5,不管来多少次 结果都是一样的 是我的胜利
1002,光,光子斩击,Special,3,4,4,Justice,500,使用光子斩击,9,我的招式技巧 变得更好了？
1002,光,光子斩击,Special,3,5,5,Justice,800,使用异刃连击,12,下一次也会把你们全都一扫而空的
1002,光,闪电爆发,Special,4,1,1,,,,,
1002,光,闪电爆发,Special,4,2,2,Justice,200,"在利贝拉里塔斯
打倒爆裂西伦鸟",5,轮到我出场了 都交给我
1002,光,闪电爆发,Special,4,3,3,Justice,300,使用闪电爆发,6,越来越像样了？
1002,光,闪电爆发,Special,4,4,4,Justice,500,使用异刃连击,10,让你见识一下光之力
