Challenge,Challenge Name,Box,Item,Item Name,Prob
1,"大群草食动物",1,15007,"物理防御提升2",0.0178571437
1,"大群草食动物",1,15027,"昆虫猎人2",0.0178571437
1,"大群草食动物",1,15037,"水生猎人2",0.0178571437
1,"大群草食动物",1,15047,"机械猎人2",0.0178571437
1,"大群草食动物",1,15052,"阿鲁斯猎人2",0.0178571437
1,"大群草食动物",1,15063,"融合连击强化2",0.0178571437
1,"大群草食动物",1,15073,"反弹无效",0.0178571437
1,"大群草食动物",1,15083,"室内攻击提升2",0.0178571437
1,"大群草食动物",1,15093,"火属性伤害减少2",0.0178571437
1,"大群草食动物",1,15098,"水属性伤害减少2",0.0178571437
1,"大群草食动物",1,15103,"地属性伤害减少2",0.0178571437
1,"大群草食动物",1,15108,"风属性伤害减少2",0.0178571437
1,"大群草食动物",1,15113,"雷属性伤害减少2",0.0178571437
1,"大群草食动物",1,15118,"冰属性伤害减少2",0.0178571437
1,"大群草食动物",1,15123,"暗属性伤害减少2",0.0178571437
1,"大群草食动物",1,15128,"光属性伤害减少2",0.0178571437
1,"大群草食动物",1,15150,"集中回避2",0.0178571437
1,"大群草食动物",1,15160,"紧急格挡2",0.0178571437
1,"大群草食动物",1,15170,"高HP攻击提升2",0.0178571437
1,"大群草食动物",1,15180,"破防抗性2",0.0178571437
1,"大群草食动物",1,15190,"浮空抗性2",0.0178571437
1,"大群草食动物",1,15200,"吹飞抗性2",0.0178571437
1,"大群草食动物",1,15220,"仇恨值降低2",0.0178571437
1,"大群草食动物",1,15230,"武技仇恨值降低2",0.0178571437
1,"大群草食动物",1,15240,"武技治疗2",0.0178571437
1,"大群草食动物",1,15250,"伤害治疗2",0.0178571437
1,"大群草食动物",1,15260,"白天命中提升2",0.0178571437
1,"大群草食动物",1,15270,"射击距离提升2",0.0178571437
1,"大群草食动物",1,15275,"开幕武技2",0.0178571437
1,"大群草食动物",1,15285,"支援高手2",0.0178571437
1,"大群草食动物",1,15295,"牵绊MAX攻击2",0.0178571437
1,"大群草食动物",1,15305,"先发牵绊2",0.0178571437
1,"大群草食动物",1,15315,"切换缩短2",0.0178571437
1,"大群草食动物",1,15346,"干扰2",0.0178571437
1,"大群草食动物",1,15351,"属性球优先破坏",0.0178571437
1,"大群草食动物",1,298,"工具背心 (史诗)",0.0178571437
1,"大群草食动物",1,301,"蒸汽腰带 (史诗)",0.0178571437
1,"大群草食动物",1,304,"铆钉帽 (史诗)",0.0178571437
1,"大群草食动物",1,323,"铁匠手套 (史诗)",0.0178571437
1,"大群草食动物",1,325,"弹簧鞋 (史诗)",0.0178571437
1,"大群草食动物",1,327,"黄金齿轮项圈 (史诗)",0.0178571437
1,"大群草食动物",1,331,"经典奖章 (史诗)",0.0178571437
1,"大群草食动物",1,334,"铁质围额 (史诗)",0.0178571437
1,"大群草食动物",1,340,"机械护胫 (史诗)",0.0178571437
1,"大群草食动物",1,343,"剑戟之旗 (史诗)",0.0178571437
1,"大群草食动物",1,349,"实习者护腕 (史诗)",0.0178571437
1,"大群草食动物",1,355,"铬制围巾 (史诗)",0.0178571437
1,"大群草食动物",1,361,"士兵戒指 (史诗)",0.0178571437
1,"大群草食动物",1,365,"突击石 (史诗)",0.0178571437
1,"大群草食动物",1,373,"迷彩兜帽 (史诗)",0.0178571437
1,"大群草食动物",1,376,"金属诺彭面具 (史诗)",0.0178571437
1,"大群草食动物",1,400,"白银耳钉 (史诗)",0.0178571437
1,"大群草食动物",1,421,"武士刀附件 (史诗)",0.0178571437
1,"大群草食动物",1,422,"魔球附件 (史诗)",0.0178571437
1,"大群草食动物",1,10027,"磁力晶片",0.0357142873
1,"大群草食动物",2,15007,"物理防御提升2",0.005509642
1,"大群草食动物",2,15027,"昆虫猎人2",0.005509642
1,"大群草食动物",2,15037,"水生猎人2",0.005509642
1,"大群草食动物",2,15047,"机械猎人2",0.005509642
1,"大群草食动物",2,15052,"阿鲁斯猎人2",0.005509642
1,"大群草食动物",2,15063,"融合连击强化2",0.005509642
1,"大群草食动物",2,15073,"反弹无效",0.005509642
1,"大群草食动物",2,15083,"室内攻击提升2",0.005509642
1,"大群草食动物",2,15093,"火属性伤害减少2",0.005509642
1,"大群草食动物",2,15098,"水属性伤害减少2",0.005509642
1,"大群草食动物",2,15103,"地属性伤害减少2",0.005509642
1,"大群草食动物",2,15108,"风属性伤害减少2",0.005509642
1,"大群草食动物",2,15113,"雷属性伤害减少2",0.005509642
1,"大群草食动物",2,15118,"冰属性伤害减少2",0.005509642
1,"大群草食动物",2,15123,"暗属性伤害减少2",0.005509642
1,"大群草食动物",2,15128,"光属性伤害减少2",0.005509642
1,"大群草食动物",2,15150,"集中回避2",0.005509642
1,"大群草食动物",2,15160,"紧急格挡2",0.005509642
1,"大群草食动物",2,15170,"高HP攻击提升2",0.005509642
1,"大群草食动物",2,15180,"破防抗性2",0.005509642
1,"大群草食动物",2,15190,"浮空抗性2",0.005509642
1,"大群草食动物",2,15200,"吹飞抗性2",0.005509642
1,"大群草食动物",2,15220,"仇恨值降低2",0.005509642
1,"大群草食动物",2,15230,"武技仇恨值降低2",0.005509642
1,"大群草食动物",2,15240,"武技治疗2",0.005509642
1,"大群草食动物",2,15250,"伤害治疗2",0.005509642
1,"大群草食动物",2,15260,"白天命中提升2",0.005509642
1,"大群草食动物",2,15270,"射击距离提升2",0.005509642
1,"大群草食动物",2,15275,"开幕武技2",0.005509642
1,"大群草食动物",2,15285,"支援高手2",0.005509642
1,"大群草食动物",2,15295,"牵绊MAX攻击2",0.005509642
1,"大群草食动物",2,15305,"先发牵绊2",0.005509642
1,"大群草食动物",2,15315,"切换缩短2",0.005509642
1,"大群草食动物",2,15346,"干扰2",0.005509642
1,"大群草食动物",2,15351,"属性球优先破坏",0.005509642
1,"大群草食动物",2,298,"工具背心 (史诗)",0.005509642
1,"大群草食动物",2,301,"蒸汽腰带 (史诗)",0.005509642
1,"大群草食动物",2,304,"铆钉帽 (史诗)",0.005509642
1,"大群草食动物",2,323,"铁匠手套 (史诗)",0.005509642
1,"大群草食动物",2,325,"弹簧鞋 (史诗)",0.005509642
1,"大群草食动物",2,327,"黄金齿轮项圈 (史诗)",0.005509642
1,"大群草食动物",2,331,"经典奖章 (史诗)",0.005509642
1,"大群草食动物",2,334,"铁质围额 (史诗)",0.005509642
1,"大群草食动物",2,340,"机械护胫 (史诗)",0.005509642
1,"大群草食动物",2,343,"剑戟之旗 (史诗)",0.005509642
1,"大群草食动物",2,349,"实习者护腕 (史诗)",0.005509642
1,"大群草食动物",2,355,"铬制围巾 (史诗)",0.005509642
1,"大群草食动物",2,361,"士兵戒指 (史诗)",0.005509642
1,"大群草食动物",2,365,"突击石 (史诗)",0.005509642
1,"大群草食动物",2,373,"迷彩兜帽 (史诗)",0.005509642
1,"大群草食动物",2,376,"金属诺彭面具 (史诗)",0.005509642
1,"大群草食动物",2,400,"白银耳钉 (史诗)",0.005509642
1,"大群草食动物",2,421,"武士刀附件 (史诗)",0.005509642
1,"大群草食动物",2,422,"魔球附件 (史诗)",0.005509642
1,"大群草食动物",2,10027,"磁力晶片",0.0110192839
1,"大群草食动物",2,15002,"会心提升2",0.0110192839
1,"大群草食动物",2,15012,"以太防御提升2",0.0110192839
1,"大群草食动物",2,15017,"格挡率提升2",0.0110192839
1,"大群草食动物",2,15022,"野兽猎人2",0.0110192839
1,"大群草食动物",2,15032,"飞行猎人2",0.0110192839
1,"大群草食动物",2,15042,"人型猎人2",0.0110192839
1,"大群草食动物",2,15057,"异刃连击强化2",0.0110192839
1,"大群草食动物",2,15068,"偷袭强化2",0.0110192839
1,"大群草食动物",2,15078,"仇恨值攻击提升2",0.0110192839
1,"大群草食动物",2,15088,"室外攻击提升2",0.0110192839
1,"大群草食动物",2,15155,"移动回避2",0.0110192839
1,"大群草食动物",2,15165,"忍耐2",0.0110192839
1,"大群草食动物",2,15175,"反噬防御2",0.0110192839
1,"大群草食动物",2,15185,"倒地抗性2",0.0110192839
1,"大群草食动物",2,15195,"猛击抗性2",0.0110192839
1,"大群草食动物",2,15205,"击退抗性2",0.0110192839
1,"大群草食动物",2,15215,"异刃封锁抗性2",0.0110192839
1,"大群草食动物",2,15225,"仇恨值上升2",0.0110192839
1,"大群草食动物",2,15235,"武技仇恨值上升2",0.0110192839
1,"大群草食动物",2,15245,"移动治疗2",0.0110192839
